Date,Open,High,Low,Close,Volume
6/13/2012,1324.02,1327.28,1310.51,1314.88,566078592
6/14/2012,1314.88,1333.68,1314.14,1329.1,616595840
6/15/2012,1329.19,1343.32,1329.19,1342.84,1149111552
6/18/2012,1342.42,1348.22,1334.46,1344.78,548918336
6/19/2012,1344.83,1363.46,1344.83,1357.98,594853952
6/20/2012,1358.04,1361.57,1346.45,1355.69,582090944
6/21/2012,1355.43,1358.27,1324.41,1325.51,687558976
6/22/2012,1325.92,1337.82,1325.92,1335.02,937475264
6/25/2012,1334.9,1334.9,1309.27,1313.72,605834880
6/26/2012,1314.09,1324.24,1310.3,1319.99,557936512
6/27/2012,1320.71,1334.4,1320.71,1331.85,508537824
6/28/2012,1331.52,1331.52,1313.29,1329.04,701561344
6/29/2012,1330.12,1362.17,1330.12,1362.16,862205952
7/2/2012,1362.33,1366.35,1355.7,1365.51,550391104
7/3/2012,1365.75,1374.81,1363.53,1374.02,340459616
7/5/2012,1373.72,1373.85,1363.02,1367.58,499612000
7/6/2012,1367.09,1367.09,1348.03,1354.68,483174464
7/9/2012,1354.66,1354.87,1346.65,1352.46,496238944
7/10/2012,1352.96,1361.54,1336.27,1341.47,568883904
7/11/2012,1341.4,1345,1333.25,1341.45,606265408
7/12/2012,1341.29,1341.29,1325.41,1334.76,611763840
7/13/2012,1334.81,1357.7,1334.81,1356.78,530837248
7/16/2012,1356.5,1357.26,1348.51,1353.64,471627040
7/17/2012,1353.68,1365.36,1345.07,1363.67,577939392
7/18/2012,1363.58,1375.26,1358.96,1372.78,589123776
7/19/2012,1373.01,1380.39,1371.21,1376.51,643162944
7/20/2012,1376.51,1376.51,1362.19,1362.66,863626752
7/23/2012,1362.34,1362.34,1337.56,1350.52,602347072
7/24/2012,1350.52,1351.53,1329.24,1338.31,632833408
7/25/2012,1338.35,1343.98,1331.5,1337.89,653733632
7/26/2012,1338.17,1363.13,1338.17,1360.02,714242048
7/27/2012,1360.05,1389.19,1360.05,1385.97,751211840
7/30/2012,1385.94,1391.74,1381.37,1385.3,492528736
7/31/2012,1385.27,1387.16,1379.17,1379.32,679418368
8/1/2012,1379.32,1385.03,1373.35,1375.14,703061120
8/2/2012,1375.13,1375.13,1354.65,1365,625895104
8/3/2012,1365.45,1394.16,1365.45,1390.99,558787136
8/6/2012,1391.04,1399.63,1391.04,1394.23,486460096
8/7/2012,1394.46,1407.14,1394.46,1401.35,533384416
8/8/2012,1401.23,1404.14,1396.13,1402.22,472937824
8/9/2012,1402.26,1405.95,1398.8,1402.8,456085664
8/10/2012,1402.58,1405.98,1395.62,1405.87,490295584
8/13/2012,1405.87,1405.87,1397.32,1404.11,396726848
