cost,time,status,seed,config_id,instance_id
0.017453,0.017453,StatusType.SUCCESS,969127330,43,instances/gzip_vc1020.cnf
0.014658,0.014658,StatusType.SUCCESS,2083982612,50,instances/gzip_vc1044.cnf
0.008228,0.008228,StatusType.SUCCESS,621042495,50,instances/gzip_vc1021.cnf
0.009236,0.009236,StatusType.SUCCESS,610401323,50,instances/gzip_vc1041.cnf
0.008429,0.008429,StatusType.SUCCESS,1704103302,50,instances/gzip_vc1021.cnf
0.030142,0.030142,StatusType.SUCCESS,1638222925,50,instances/gzip_vc1038.cnf
0.015498,0.015498,StatusType.SUCCESS,438667483,50,instances/gzip_vc1020.cnf
0.017163,0.017163,StatusType.SUCCESS,878115723,50,instances/gzip_vc1031.cnf
0.00427,0.00427,StatusType.SUCCESS,262150548,50,instances/gzip_vc1012.cnf
0.016879,0.016879,StatusType.SUCCESS,1298508491,50,instances/gzip_vc1044.cnf
0.022519,0.022519,StatusType.SUCCESS,1960903859,50,instances/gzip_vc1027.cnf
0.015616,0.015616,StatusType.SUCCESS,710413845,50,instances/gzip_vc1031.cnf
0.025312,0.025312,StatusType.SUCCESS,1909519948,50,instances/gzip_vc1027.cnf
0.015656,0.015656,StatusType.SUCCESS,852851176,50,instances/gzip_vc1020.cnf
0.00425,0.00425,StatusType.SUCCESS,1695977848,50,instances/gzip_vc1012.cnf
0.01796,0.01796,StatusType.SUCCESS,2138822019,50,instances/gzip_vc1044.cnf
0.002612,0.002612,StatusType.SUCCESS,1195672662,50,instances/gzip_vc1013.cnf
0.037893,0.037893,StatusType.SUCCESS,2143362693,50,instances/gzip_vc1038.cnf
0.002511,0.002511,StatusType.SUCCESS,1925045143,50,instances/gzip_vc1013.cnf
0.01031,0.01031,StatusType.SUCCESS,1282027545,50,instances/gzip_vc1041.cnf
0.016694,0.016694,StatusType.SUCCESS,170439343,50,instances/gzip_vc1044.cnf
0.028992,0.028992,StatusType.SUCCESS,1208933503,50,instances/gzip_vc1038.cnf
0.012337,0.012337,StatusType.SUCCESS,1289917162,50,instances/gzip_vc1018.cnf
0.003233,0.003233,StatusType.SUCCESS,259974304,50,instances/gzip_vc1012.cnf
0.022905,0.022905,StatusType.SUCCESS,320883483,50,instances/gzip_vc1027.cnf
0.016816,0.016816,StatusType.SUCCESS,116213680,50,instances/gzip_vc1031.cnf
0.019656,0.019656,StatusType.SUCCESS,2051782562,50,instances/gzip_vc1020.cnf
0.020589,0.020589,StatusType.SUCCESS,315770200,50,instances/gzip_vc1027.cnf
0.00621,0.00621,StatusType.SUCCESS,513621141,50,instances/gzip_vc1021.cnf
0.002657,0.002657,StatusType.SUCCESS,1287530423,50,instances/gzip_vc1013.cnf
0.00917,0.00917,StatusType.SUCCESS,1104314680,50,instances/gzip_vc1041.cnf
0.01259,0.01259,StatusType.SUCCESS,557132457,50,instances/gzip_vc1018.cnf
0.006507,0.006507,StatusType.SUCCESS,44500126,50,instances/gzip_vc1021.cnf
0.014419,0.014419,StatusType.SUCCESS,1319006753,50,instances/gzip_vc1018.cnf
0.010957,0.010957,StatusType.SUCCESS,1029125567,50,instances/gzip_vc1041.cnf
0.001963,0.001963,StatusType.SUCCESS,592003168,50,instances/gzip_vc1013.cnf
0.018315,0.018315,StatusType.SUCCESS,1050945107,50,instances/gzip_vc1031.cnf
0.004283,0.004283,StatusType.SUCCESS,1179591951,50,instances/gzip_vc1012.cnf
0.013977,0.013977,StatusType.SUCCESS,1703301249,50,instances/gzip_vc1018.cnf
0.014092,0.014092,StatusType.SUCCESS,1205532000,50,instances/gzip_vc1018.cnf
0.004409,0.004409,StatusType.SUCCESS,732152370,50,instances/gzip_vc1012.cnf
0.017071,0.017071,StatusType.SUCCESS,969127330,50,instances/gzip_vc1020.cnf
0.02018,0.02018,StatusType.SUCCESS,1413675217,50,instances/gzip_vc1027.cnf
0.006249,0.006249,StatusType.SUCCESS,1857983374,50,instances/gzip_vc1021.cnf
0.015033,0.015033,StatusType.SUCCESS,399713351,50,instances/gzip_vc1020.cnf
0.001947,0.001947,StatusType.SUCCESS,1687444137,50,instances/gzip_vc1013.cnf
0.011128,0.011128,StatusType.SUCCESS,457774255,50,instances/gzip_vc1041.cnf
0.027331,0.027331,StatusType.SUCCESS,992203680,50,instances/gzip_vc1038.cnf
0.017429,0.017429,StatusType.SUCCESS,538242005,50,instances/gzip_vc1031.cnf
0.016412,0.016412,StatusType.SUCCESS,768092755,50,instances/gzip_vc1044.cnf
0.043351,0.043351,StatusType.SUCCESS,324139549,50,instances/gzip_vc1038.cnf
0.026944,0.026944,StatusType.SUCCESS,438667483,1,instances/gzip_vc1020.cnf
0.020902,0.020902,StatusType.SUCCESS,537390900,50,instances/gzip_vc1027.cnf
0.016046,0.016046,StatusType.SUCCESS,2051782562,51,instances/gzip_vc1020.cnf
0.017309,0.017309,StatusType.SUCCESS,116213680,51,instances/gzip_vc1031.cnf
0.024859,0.024859,StatusType.SUCCESS,1960903859,51,instances/gzip_vc1027.cnf
0.016144,0.016144,StatusType.SUCCESS,1298508491,51,instances/gzip_vc1044.cnf
